vertices_str,
"[(172433.7952155376, 537309.8847427395, -1.7976931348623157e+308), (172439.2193352398, 537312.4668132113, -1.7976931348623157e+308), (172469.9255326297, 537326.9192227924, -1.7976931348623157e+308), (172478.389952897, 537331.359363438, -1.7976931348623157e+308), (172493.7172721426, 537339.8135396198, -1.7976931348623157e+308), (172515.4739040362, 537352.7192240289, -1.7976931348623157e+308)]",
"[(172515.4739040362, 537352.7192240289, 0.0), (172522.3258244275, 537356.9154518753, 0.0)]",
"[(172522.3258244275, 537356.9154518753, 0.0), (172540.1033534284, 537368.664660134, 0.0)]",
"[(172401.5453370326, 537297.2587913515, -1.7976931348623157e+308), (172338.824617511, 537274.884233491, -1.7976931348623157e+308)]",
"[[(169681.9941985351, 537904.4170100974, -1.7976931348623157e+308), (169682.8511051477, 537908.8770803697, -1.7976931348623157e+308)], [(169683.74071517753, 537904.1816368918, -1.7976931348623157e+308), (169691.6009499614, 537944.4569808668, -1.7976931348623157e+308)], [(169670.87957765447, 537947.1424171916, -1.7976931348623157e+308), (169662.8195317226, 537912.4849644206, -1.7976931348623157e+308), (169682.8511051477, 537908.8770803697, -1.7976931348623157e+308), (169689.73351597684, 537944.6989954874, -1.7976931348623157e+308), (169670.87957765447, 537947.1424171916, -1.7976931348623157e+308)], [(169691.6009499614, 537944.4569808668, -1.7976931348623157e+308), (169692.68119050167, 537944.3169844832, -1.7976931348623157e+308), (169684.74026169992, 537903.9497440933, -1.7976931348623157e+308)], [(169689.86769620577, 537903.3337036417, -1.7976931348623157e+308), (169699.20529757827, 537951.549191257, -1.7976931348623157e+308)], [(169689.73351597684, 537944.6989954874, -1.7976931348623157e+308), (169691.6009499614, 537944.4569808668, -1.7976931348623157e+308)], [(169665.00882647544, 537947.9032513795, -1.7976931348623157e+308), (169670.87957765447, 537947.1424171916, -1.7976931348623157e+308)], [(169691.9956249614, 537946.4792705083, -1.7976931348623157e+308), (169693.1807509318, 537952.5517807353, -1.7976931348623157e+308)], [(169662.8195317226, 537912.4849644206, -1.7976931348623157e+308), (169661.5404894647, 537906.9852008933, -1.7976931348623157e+308)], [(169691.9956249614, 537946.4792705083, -1.7976931348623157e+308), (169665.04089579525, 537949.7936391996, -1.7976931348623157e+308)], [(169694.25157244093, 537952.2999278931, -1.7976931348623157e+308), (169693.0803123535, 537946.3458967352, -1.7976931348623157e+308), (169691.9956249614, 537946.4792705083, -1.7976931348623157e+308)]]",error
"[(172496.6098057946, 537843.8063490136, -1.7976931348623157e+308), (172492.9919996089, 537876.3618183605, -1.7976931348623157e+308), (172493.0466907283, 537882.7913419533, -1.7976931348623157e+308), (172500.8779912118, 537883.0752192717, -1.7976931348623157e+308), (172500.7052987505, 537905.882871217, -1.7976931348623157e+308), (172519.9090762564, 537905.0778634156, -1.7976931348623157e+308), (172519.7491711075, 537877.0019657931, -1.7976931348623157e+308), (172519.7228759144, 537848.7259405882, -1.7976931348623157e+308), (172496.6098057946, 537843.8063490136, -1.7976931348623157e+308)]",
"[(172580.494198899, 537849.6360550668, -1.7976931348623157e+308), (172583.6921522195, 537870.9095590243, -1.7976931348623157e+308), (172584.2073029884, 537897.0811238738, -1.7976931348623157e+308), (172593.329456895, 537896.7029426065, -1.7976931348623157e+308), (172592.639662588, 537920.8593191598, -1.7976931348623157e+308), (172593.8799653867, 537921.2767856751, -1.7976931348623157e+308), (172600.243701433, 537923.274569087, -1.7976931348623157e+308), (172604.9142853388, 537846.7187839621, -1.7976931348623157e+308), (172580.494198899, 537849.6360550668, -1.7976931348623157e+308)]",
"[(172584.2073029884, 537897.0811238738, -1.7976931348623157e+308), (172593.329456895, 537896.7029426065, -1.7976931348623157e+308), (172592.639662588, 537920.8593191598, -1.7976931348623157e+308), (172583.468909134, 537918.0417577666, -1.7976931348623157e+308), (172584.2073029884, 537897.0811238738, -1.7976931348623157e+308)]",
"[(172604.9142853388, 537846.7187839621, -1.7976931348623157e+308), (172600.243701433, 537923.274569087, -1.7976931348623157e+308), (172616.7161821538, 537928.273074241, -1.7976931348623157e+308), (172624.5123466278, 537844.5130260347, -1.7976931348623157e+308), (172604.9142853388, 537846.7187839621, -1.7976931348623157e+308)]",
"[(172744.7696930913, 537868.487627768, -1.7976931348623157e+308), (172750.3877132026, 537902.8717360139, -1.7976931348623157e+308), (172775.582426987, 537911.2629818745, -1.7976931348623157e+308), (172773.3583990643, 537869.506141205, -1.7976931348623157e+308), (172744.7696930913, 537868.487627768, -1.7976931348623157e+308)]",
"[(172914.0573426439, 537840.7475164215, -1.7976931348623157e+308), (172966.2095403183, 537908.3163925342, -1.7976931348623157e+308), (172983.8458992756, 537904.0011577564, -1.7976931348623157e+308), (172933.8178975841, 537830.7471654486, -1.7976931348623157e+308), (172914.0573426439, 537840.7475164215, -1.7976931348623157e+308)]",
"[(172933.8178975841, 537830.7471654486, -1.7976931348623157e+308), (172983.8458992756, 537904.0011577564, -1.7976931348623157e+308), (173001.3794885924, 537899.5598002442, -1.7976931348623157e+308), (172952.6890275944, 537821.4708106107, -1.7976931348623157e+308), (172933.8178975841, 537830.7471654486, -1.7976931348623157e+308)]",
"[(172841.8322292973, 537872.6155478085, -1.7976931348623157e+308), (172840.9943693298, 537882.2199893394, -1.7976931348623157e+308), (172861.9247222508, 537882.0753730902, -1.7976931348623157e+308), (172860.9176562629, 537872.137738202, -1.7976931348623157e+308), (172841.8322292973, 537872.6155478085, -1.7976931348623157e+308)]",
"[(172835.6989032178, 537872.7311317249, -1.7976931348623157e+308), (172841.8322292973, 537872.6155478085, -1.7976931348623157e+308), (172840.9943693298, 537882.2199893394, -1.7976931348623157e+308), (172861.9247222508, 537882.0753730902, -1.7976931348623157e+308), (172865.2469292272, 537914.3900110887, -1.7976931348623157e+308), (172839.4702901815, 537906.5022950929, -1.7976931348623157e+308), (172835.6989032178, 537872.7311317249, -1.7976931348623157e+308)]",
"[(172782.1086031118, 537782.3128209633, -1.7976931348623157e+308), (172786.3056906281, 537796.4830251249, -1.7976931348623157e+308), (172799.6629447901, 537794.8242103076, -1.7976931348623157e+308), (172795.349263811, 537781.5162670887, -1.7976931348623157e+308), (172782.1086031118, 537782.3128209633, -1.7976931348623157e+308)]",
"[(172740.6775886611, 537779.8260469452, -1.7976931348623157e+308), (172739.7097770067, 537775.0395189462, -1.7976931348623157e+308), (172799.7458045797, 537777.110621039, -1.7976931348623157e+308), (172804.2617989121, 537794.3566360223, -1.7976931348623157e+308), (172799.6629447901, 537794.8242103076, -1.7976931348623157e+308), (172795.349263811, 537781.5162670887, -1.7976931348623157e+308), (172782.1086031118, 537782.3128209633, -1.7976931348623157e+308), (172786.3056906281, 537796.4830251249, -1.7976931348623157e+308), (172792.5599058649, 537818.0042704822, -1.7976931348623157e+308), (172790.6725051909, 537821.2336089243, -1.7976931348623157e+308), (172754.4863895994, 537809.019494745, -1.7976931348623157e+308), (172751.7457864, 537778.9140147183, -1.7976931348623157e+308), (172740.6775886611, 537779.8260469452, -1.7976931348623157e+308)]",
"[(172740.6775886611, 537779.8260469452, -1.7976931348623157e+308), (172751.7457864, 537778.9140147183, -1.7976931348623157e+308), (172754.4863895994, 537809.019494745, -1.7976931348623157e+308), (172745.2965244621, 537805.907785524, -1.7976931348623157e+308), (172740.6775886611, 537779.8260469452, -1.7976931348623157e+308)]",
